2026-02-01 00:10:26 INFO  Utils - [TestNG] Running:
  C:\Users\Sumit\TutorialsNinja121\master.xml

2026-02-01 00:10:32 INFO  TC005_AddProductToCart - *******Starting_TC005_AddProductTOCart *******
2026-02-01 00:10:34 INFO  TC005_AddProductToCart - ****** Finished_TC005_AddProductTOCart ******
2026-02-01 01:03:46 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:08:36 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:09:37 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:11:37 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:11:48 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:11:59 INFO  TC002_LoginTest - ***** Starting TC_002_LoginTest ******
2026-02-01 01:26:11 INFO  TC001_AccountRegistrationTest - ***** Starting TC001_AccountRegistrationTest *****
2026-02-01 01:26:11 INFO  TC001_AccountRegistrationTest - ***** Starting TC001_AccountRegistrationTest ******
2026-02-01 01:26:11 INFO  TC001_AccountRegistrationTest - Clicked on MyAccount Link
2026-02-01 01:26:12 INFO  TC001_AccountRegistrationTest - Clicked on Register Link
2026-02-01 01:26:12 INFO  TC001_AccountRegistrationTest - Providing customer details
2026-02-01 01:26:14 INFO  TC001_AccountRegistrationTest - Validation expected message...
2026-02-01 01:26:14 INFO  TC001_AccountRegistrationTest - ***** Finished TC001_AccountRegistrationTest *****
